,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,odds
48,Austin Eckroat,57362,71.381,0.296,0.39,-0.065,0.177,-0.148,0.118,,,,,
49,Harrison Endycott,47079,71.408,-0.342,-0.108,0.139,-0.152,-0.184,-0.19,,,,,
50,Harris English,34099,70.865,0.062,-0.551,0.331,-0.304,-0.085,0.366,5.5,1.0,5.5,1.0,10875.0
51,Matt Every,28307,,,,,,,,3.0,0.0,3.0,0.0,
52,Tony Finau,29725,69.371,2.358,0.516,0.187,1.705,1.002,0.653,-3.2,1.0,-3.2,1.0,1750.0
53,Matt Fitzpatrick,40098,70.887,0.699,0.475,0.345,0.304,-0.516,0.395,,,,,4125.0
54,Tommy Fleetwood,30911,69.711,1.646,-0.066,0.628,0.93,0.367,0.716,0.5,0.83,0.5,0.83,7125.0
55,Rickie Fowler,32102,69.815,1.264,0.19,0.039,1.17,0.941,0.094,-4.17,0.83,-4.17,0.83,5125.0
56,Dylan Frittelli,29970,71.573,0.141,0.061,-0.155,0.052,0.146,0.089,0.67,0.33,0.67,0.33,
57,Jim Furyk,10809,,,,,,,,5.0,0.0,5.0,0.0,
58,Brice Garnett,29535,71.649,0.37,-0.361,0.017,-0.168,0.176,0.539,,,,,
59,Robert Garrigus,24358,,,,,,,,,,,,
60,Doug Ghim,52375,72.029,-0.778,-0.229,-0.1,-0.645,-0.316,-0.133,8.0,1.0,8.0,1.0,
61,Michael Gligic,32662,72.7,-1.43,0.109,-0.564,-1.102,-0.647,-0.328,,,,,
62,Lucas Glover,25900,71.803,-0.551,-0.095,-0.285,-0.107,0.272,-0.444,6.0,0.5,6.0,0.5,283333.0
63,Fabián Gómez,28679,,,,,,,,,,,,
64,Will Gordon,56762,70.179,0.715,0.466,-0.057,0.705,0.296,0.009,,,,,29000.0
65,Tano Goya,31577,71.681,-0.652,0.16,0.073,-0.415,-0.647,-0.237,,,,,
66,Brent Grant,51414,72.289,-1.471,0.521,-0.496,-0.964,-0.988,-0.507,,,,,
67,Ben Griffin,54591,70.041,0.84,0.123,0.148,0.734,0.463,0.106,,,,,14500.0
68,Lanto Griffin,35310,,,,,,,,4.0,0.0,4.0,0.0,
69,Emiliano Grillo,31646,71.035,-0.434,0.139,-0.272,-0.058,0.076,-0.376,8.0,1.0,8.0,1.0,29000.0
70,Bill Haas,24924,72.763,-1.747,-0.029,0.506,-1.281,-1.758,-0.466,2.0,1.0,2.0,1.0,
71,Chesson Hadley,34563,71.016,-0.224,-0.282,-0.677,-0.704,0.255,0.48,,,,,
72,Adam Hadwin,33399,70.293,0.985,-0.094,-0.041,0.435,0.571,0.55,2.0,0.67,2.0,0.67,13750.0
73,James Hahn,32448,71.616,0.256,0.31,-0.321,0.537,0.548,-0.281,6.5,0.5,6.5,0.5,
74,Paul Haley II,35901,71.658,-0.44,-0.162,0.087,-0.53,-0.455,0.09,,,,,
75,Harry Hall,57975,70.956,0.247,-0.348,-0.002,-0.867,-0.517,1.114,,,,,
76,Nick Hardy,47988,70.741,0.22,0.152,-0.208,0.763,0.818,-0.543,,,,,40500.0
77,Brian Harman,27644,70.061,0.798,0.455,0.065,0.596,0.076,0.203,2.75,0.5,2.75,0.5,20375.0
78,Scott Harrington,27554,72.192,-1.229,-0.22,-0.303,-0.757,-0.234,-0.472,,,,,
79,Tyrrell Hatton,34363,69.688,1.534,0.712,-0.031,1.115,0.434,0.419,6.83,0.67,6.83,0.67,5275.0
80,David Hearn,26758,,,,,,,,,,,,
81,Russell Henley,34098,71.009,-0.561,0.011,0.072,0.125,0.042,-0.686,-1.0,1.0,-1.0,1.0,13875.0
82,J.J. Henry,23353,,,,,,,,,,,,
